part,standard,index_url,pdf_url,status,note
7816-1,"ГОСТ Р ИСО/МЭК 7816-1-2013","https://meganorm.ru/Index/56/56922.htm","https://meganorm.ru/Data/569/56922.pdf","действующий","latest found on MegNorm list"
7816-2,"ГОСТ Р ИСО/МЭК 7816-2-2010","https://meganorm.ru/Index/50/50230.htm","https://meganorm.ru/Data/502/50230.pdf","действующий","latest found on MegNorm list"
7816-3,"ГОСТ Р ИСО/МЭК 7816-3-2013","https://meganorm.ru/Index/58/58604.htm","https://meganorm.ru/Data/586/58604.pdf","действующий","latest found on MegNorm list"
7816-4,"ГОСТ Р ИСО/МЭК 7816-4-2013","https://meganorm.ru/Index/58/58602.htm","https://meganorm.ru/Data/586/58602.pdf","действующий","latest found on MegNorm list"
7816-6,"ГОСТ Р ИСО/МЭК 7816-6-2013","https://meganorm.ru/Index/58/58594.htm","https://meganorm.ru/Data/585/58594.pdf","действующий","latest found on MegNorm list"
7816-7,"ГОСТ Р ИСО/МЭК 7816-7-2011","https://meganorm.ru/Index/53/53291.htm","https://meganorm.ru/Data/532/53291.pdf","действующий","latest found on MegNorm list"
7816-8,"ГОСТ Р ИСО/МЭК 7816-8-2011","https://meganorm.ru/Index/52/52128.htm","https://meganorm.ru/Data/521/52128.pdf","действующий","latest found on MegNorm list"
7816-9,"ГОСТ Р ИСО/МЭК 7816-9-2011","https://meganorm.ru/Index/53/53254.htm","https://meganorm.ru/Data/532/53254.pdf","действующий","latest found on MegNorm list"
7816-10,"ГОСТ Р ИСО/МЭК 7816-10-2004","https://meganorm.ru/Index/5/5791.htm","https://meganorm.ru/Data/57/5791.pdf","действующий","latest found on MegNorm list"
7816-11,"ГОСТ Р ИСО/МЭК 7816-11-2013","https://meganorm.ru/Index/57/57940.htm","https://meganorm.ru/Data/579/57940.pdf","заменён","newest 7816-11 row found on MegNorm list, but marked replaced"
7816-13,"ГОСТ Р ИСО/МЭК 7816-13-2013","https://meganorm.ru/Index/57/57937.htm","https://meganorm.ru/Data/579/57937.pdf","действующий","latest found on MegNorm list"
